seed,recall@5,recall@10,recall@15,recall@20,ndcg@5,ndcg@10,ndcg@15,ndcg@20,precision@5,precision@10,precision@15,precision@20,map@5,map@10,map@15,map@20
1000,0.08488032970564194,0.1261201388524748,0.153506689966925,0.17754700560821093,0.08482438510933919,0.0984617316968582,0.10760072266367991,0.11530460000006906,0.056511156186611684,0.043427991886411214,0.03628127112914012,0.03202332657200998,0.05589122718052731,0.05879726084239548,0.06098741557636721,0.06275933498595616
1001,0.08456933043009675,0.12561302040210454,0.153646364663453,0.17751099591741792,0.08465843183514732,0.09828596699872445,0.10765810488436109,0.11532614331102015,0.05630831643001933,0.043286004056796626,0.036254225828261155,0.03201825557809515,0.05582358575614144,0.05874520976973137,0.061029525598086914,0.06280056737592797
1002,0.08500943118641019,0.12600141639604842,0.15351682408571468,0.17728077023931607,0.08512355716336122,0.09860582934531263,0.10786820428153734,0.11543371946627015,0.056572008113589346,0.043326572008115086,0.0363556457065573,0.03196754563894706,0.05616396213657875,0.05899284351352271,0.061229496538423786,0.06298234632471511
1003,0.08447749561976177,0.12670331113191877,0.15419642952854914,0.17792435751630165,0.0848248089319822,0.09887499269570368,0.10812424831919935,0.1157086131323147,0.056227180527382445,0.04346855983772971,0.036423258958754715,0.03209939148073208,0.05604707572684239,0.059119608651250745,0.06135594753528074,0.06312648187207531
1004,0.0846348703101408,0.12594629002884064,0.15379726488122444,0.1780066137082007,0.08497898886853296,0.0985476535553679,0.10795229537615655,0.11571101120758034,0.05645030425963398,0.04317444219067085,0.03631507775523883,0.03208417849898766,0.056125647960333515,0.059014239747623,0.06131125233243964,0.0631158541157953
1005,0.08509573784734355,0.1259902167484092,0.1536647163171975,0.17761570141375865,0.08507923789493084,0.09866375347264902,0.10790725560713284,0.11557031249875291,0.05655172413793012,0.043478701825559324,0.03635564570655729,0.03206389452332842,0.056097306738787364,0.05902302368904118,0.06126112984999655,0.06303863886464249
1006,0.08538487229139018,0.12652572983245822,0.15335981709714053,0.17726131158170694,0.08535922485183903,0.0988259754016478,0.10788377758886725,0.11558213637967765,0.056713995943203976,0.0433367139959447,0.03628803245435986,0.03206389452332844,0.05629245548794227,0.05911681345590577,0.06128499281722587,0.0630637369605292
1007,0.08475191430461028,0.1262875403052578,0.15362079949098473,0.17790988110332892,0.08505291382007699,0.09884251279005339,0.10802117245267327,0.11581850557258203,0.0563488843813378,0.04343813387424085,0.0363421230561178,0.032145030425965365,0.056183936218165365,0.05915150404031322,0.06139602791417306,0.06318239798846804
1008,0.08536713964840399,0.1263913571899017,0.15316870972162028,0.1777844857670603,0.08533692104951877,0.09885896489700505,0.10784920606667535,0.11571725700690294,0.056713995943203976,0.04348884381338895,0.03626774847870064,0.03209432048681726,0.05621405228758163,0.059099040031082434,0.0612758492664913,0.06309510148429225
1009,0.08527447193495175,0.1258812031482475,0.15416031550845608,0.1775706115198329,0.08528529590673854,0.09859359471763744,0.10810722527516074,0.11559552863222367,0.05671399594320398,0.04333671399594471,0.03647058823529292,0.03206389452332845,0.05627073473067388,0.05902968637966023,0.06133359926994552,0.06306263650990242
1010,0.08542688927360884,0.126363722920636,0.15375376448520234,0.1775869822622918,0.08527211946387925,0.09871026280111415,0.10791163794953292,0.1155810139035547,0.05669371196754475,0.04336713995943354,0.03631507775523883,0.032079107505072854,0.05622425061978807,0.059009376212170464,0.06125021154380726,0.06301175466907707
1011,0.08452681767978586,0.12573365890350593,0.1538652520568227,0.17768048845959314,0.08484151923352706,0.09843533843810445,0.10786619397644771,0.11549611568798145,0.05632860040567857,0.043225152129818915,0.03630155510479935,0.032008113590265536,0.055932781158440345,0.058886170240765236,0.061170319171123144,0.06294166376152276
1012,0.08491688147380297,0.12647212593012358,0.1537179082479,0.17807442596147044,0.08511986326725753,0.09883806719721357,0.1079509479998889,0.11571956662569167,0.05651115618661166,0.043488843813388925,0.03633536173089806,0.032068965517243225,0.05615094658553071,0.05910380370219582,0.061288436134357124,0.06307081691489361
