condition_learned,degree_group,n_edges,mean_mask_learned,mean_drop_learned,std_drop_learned,condition_random,mean_mask_random,mean_drop_random,std_drop_random,absolute_mean_drop_error
Learned,1-5,14080,0.972711443901062,0.027288487181067467,0.04204794764518738,Degree-random,0.972711443901062,0.027288487181067467,0.04204794764518738,0.0
Learned,6-20,59910,0.960008978843689,0.03999098390340805,0.06368406862020493,Degree-random,0.960008978843689,0.039990976452827454,0.06368406862020493,7.450580596923828e-09
Learned,21-50,27144,0.9342936277389526,0.06570637226104736,0.0998450294137001,Degree-random,0.9342935681343079,0.06570637226104736,0.0998450219631195,0.0
Learned,51+,19330,0.9077394008636475,0.09226060658693314,0.14533168077468872,Degree-random,0.9077394008636475,0.09226060658693314,0.14533166587352753,0.0
