user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
156,6249,4,4,0.0762552320957,0.0329193100333,0.00343103054911,0.00193299597595,-0.00149803457316
157,4690,3,12,0.137261718512,0.0347819551826,0.236041411757,0.054344099015,-0.181697309017
158,5928,32,50,0.0723333731294,0.0141735998914,0.00158648227807,0.00445440225303,0.00286791985855
159,5045,4,13,0.174780368805,0.0342729128897,0.0675374865532,0.104967199266,0.0374297127128
160,4104,16,52,0.152101621032,0.0079509858042,0.0962189435959,0.0253578629345,-0.0708610787988
161,338,21,51,0.132750228047,0.0489025861025,0.180716574192,0.0575384311378,-0.123178139329
162,305,12,27,0.0881422162056,0.0613742880523,0.655773580074,0.363055109978,-0.292718470097
163,4230,13,37,0.0449765175581,0.0105865653604,0.471190422773,0.451682776213,-0.0195076465607
164,1436,1,3,0.0730374380946,0.0258230287582,0.00381547538564,0.00374202779494,-7.34475906938e-05
165,164,3,4,0.114697061479,0.0253537166864,0.00256859394722,0.00125185074285,-0.00131674320437
166,3061,2,9,0.153771147132,0.0949380248785,0.0174549575895,0.0130434827879,-0.0044114748016
168,2718,19,46,0.0666952505708,0.0278535801917,0.20444265008,0.152447223663,-0.0519954264164
169,163,16,64,0.0753763243556,0.0268442574888,0.0260983724147,0.0123664615676,-0.0137319108471
170,444,25,88,0.0906435474753,0.0335427187383,0.010854027234,0.0164021849632,0.00554815772921
171,4424,14,31,0.0938294902444,0.0108845978975,0.00665484601632,0.00631624041125,-0.000338605605066
172,1020,6,16,0.116722263396,0.037618111819,0.00829049013555,0.0161753408611,0.00788485072553
173,1080,15,38,0.121438868344,0.0382292456925,0.0456156767905,0.126536607742,0.0809209346771
174,4560,14,68,0.0820331797004,0.0375487282872,0.0232761371881,0.00981862470508,-0.013457512483
175,417,10,44,0.0962839499116,0.0578983128071,0.0392574444413,0.0256438776851,-0.0136135667562
176,1098,16,43,0.0779173895717,0.0202341787517,0.00423905113712,0.00252367812209,-0.00171537301503
177,226,17,51,0.173209533095,0.0173359718174,0.0717200934887,0.0345702581108,-0.0371498353779
178,4052,21,67,0.062642775476,0.00556320464239,0.178902208805,0.124977856874,-0.0539243519306
179,3980,15,54,0.152059778571,0.0452312082052,0.0713184699416,0.0233498588204,-0.0479686111212
180,3249,1,5,0.101169399917,0.0361013524234,0.013528666459,0.0131765343249,-0.00035213213414
181,264,10,22,0.0777868255973,0.0187108591199,0.0292165726423,0.0242593493313,-0.00495722331107
